country,age,frequency,amount_mean,guests_mean,num_stores,different_services,services_type,Component 1,Component 2,Component 3,Component 4,Component 5,Segment K-means PCA,Legend
1,27,1,21.3,2.0,1,1,1,-0.10970155081557115,-0.5044933547663275,-0.16665031098080943,-0.41321351418073254,-0.7111747976071,0,occasional hang-out
1,30,4,13.725,4.0,1,1,1,0.7012229900764944,-0.8034748514875929,0.31218137856071926,-0.10643500738276353,-0.11153873254347171,0,occasional hang-out
1,28,7,12.485714285714286,3.857142857142857,1,2,1,2.1856867374365145,1.1757356629731102,0.08882608955614962,0.13830526671796706,-0.01774135435447638,2,addicted
1,35,2,9.25,4.5,1,1,1,0.6741460357078336,-1.050090080702852,0.5494568745575654,-0.10154706243752686,-0.04889203390004432,0,occasional hang-out
1,19,1,22.27,3.0,1,1,2,-1.1733784762792203,0.2188092607902474,-0.7893842888876309,-0.17025278085293769,-0.058349335630287436,3,well-off
1,24,5,9.540000000000001,4.6,1,2,1,2.0476024042459997,0.9188295635831956,-0.5126255862574287,0.2775752479180878,0.2789347482259103,2,addicted
1,26,2,6.1,6.5,1,1,1,0.8619613196729706,-1.406029597452126,-0.3311101849947672,0.30942924606024635,0.8059967145202588,0,occasional hang-out
1,26,8,9.625,4.375,1,1,1,1.3148558657936371,-0.7567696213188989,0.23186704229711752,0.02430444076152413,-0.038392122126300166,0,occasional hang-out
1,38,2,8.149999999999999,3.5,1,1,1,0.6406165205468712,-0.9236825774240216,0.8018099727151344,-0.29553413436836595,-0.5238014999876927,0,occasional hang-out
1,26,1,10.5,3.0,1,1,1,0.27999565137685106,-0.8564938574145444,-0.41846056827925193,-0.2575983217957517,-0.5404325818712764,0,occasional hang-out
1,25,1,10.2,3.0,1,1,1,0.2783686462744838,-0.8626397093585401,-0.5197682500095978,-0.24772155623690997,-0.5368352334417894,0,occasional hang-out
1,22,1,8.9,1.0,1,1,1,0.09502743110515632,-0.596626575758715,-0.8686343027583219,-0.541442725721698,-1.368749934345761,0,occasional hang-out
1,26,1,14.0,5.0,1,1,1,0.3709332593860487,-1.0819491404385264,-0.3234035751163773,0.07037049477574892,0.37592335758738354,0,occasional hang-out
1,33,1,14.0,5.0,1,1,1,0.4416117928095098,-1.0788928069777968,0.3518020131989808,-0.0018947466720766332,0.3008505295941751,0,occasional hang-out
1,26,3,11.866666666666667,5.0,1,1,1,0.6825069370149852,-1.0319282790002537,-0.17559920041376703,0.08471053977546376,0.3109546265509907,0,occasional hang-out
1,31,2,7.6,5.0,1,1,1,0.7277812670442966,-1.156253087780112,0.14657070853113477,0.017978659007328757,0.16310725401232679,0,occasional hang-out
1,20,6,13.233333333333333,2.0,1,1,1,0.6757245671660864,-0.43451498974365543,-0.516531487481851,-0.3091693724232474,-0.8634617955686439,0,occasional hang-out
1,22,1,8.9,5.0,1,1,1,0.4745343061465177,-1.1807525756308108,-0.7916809290894491,0.10406863230152537,0.29765731461556255,0,occasional hang-out
1,27,1,8.9,3.0,1,1,1,0.3352655353568806,-0.8865064803656703,-0.347867909984344,-0.270305076315676,-0.5891697584316767,0,occasional hang-out
1,31,1,8.9,3.0,1,1,1,0.3756532687417155,-0.8847600041023961,0.03796385476728917,-0.3115995000001478,-0.6320685172849387,0,occasional hang-out
1,37,16,24.24375,2.9375,1,2,1,2.988384557067502,1.9455159359454215,1.9496446136701673,-0.006674853422440577,-0.2823277000446401,2,addicted
1,25,2,7.0,6.0,1,1,1,0.7790162422150675,-1.3163227678994014,-0.42263807626397193,0.24040445331528995,0.6298025219648942,0,occasional hang-out
1,42,1,28.1,2.0,1,1,2,-1.2006246669487446,0.4858324248713387,1.5041566395584116,-0.5603899588375555,-0.5831110123278092,3,well-off
1,35,1,31.3,2.0,1,1,2,-1.3616491016398475,0.5436745754444976,0.8806816170290545,-0.4833584201921171,-0.4320132106404311,3,well-off
0,31,1,10.9,5.0,1,1,1,-0.6454927128982636,-1.224330893296405,0.879501153586598,9.156580636488773,-2.9456588869825566,1,tourist
1,35,1,10.8,5.0,1,1,1,0.5521515607695687,-1.1389180528800482,0.4929873297887966,-0.02730825571192526,0.20337617647337447,0,occasional hang-out
1,22,1,9.8,7.0,1,1,1,0.6388779589356742,-1.4556878769323274,-0.7386550206277002,0.4281648323999657,1.1522429629477098,0,occasional hang-out
1,24,1,9.8,7.0,1,1,1,0.6590718256280916,-1.4548146388006904,-0.5457391382518835,0.40751762055772983,1.1307935835210787,0,occasional hang-out
1,32,1,7.9,2.0,1,1,1,0.31910657747372184,-0.7573226613291437,0.0990176507298541,-0.4847904133013256,-1.0831528235180132,0,occasional hang-out
1,28,2,13.2,7.0,1,1,1,0.7291385773079784,-1.3430535978543103,-0.013797938072652532,0.3800461758781166,1.1615286515977323,0,occasional hang-out
1,28,3,10.033333333333333,6.666666666666667,1,1,1,0.912589340909223,-1.3093306306264054,0.019743284342516917,0.33029570267343883,0.9402856263459602,0,occasional hang-out
1,26,2,8.85,7.0,1,1,1,0.8317586701512613,-1.4267107127195149,-0.2770350583138138,0.3942142024673477,1.0796315824088514,0,occasional hang-out
1,27,2,10.55,6.5,1,1,1,0.7464209840688651,-1.320906024026681,-0.16271442576070172,0.30573377217955866,0.9009942538503981,0,occasional hang-out
1,25,1,11.4,9.0,1,1,1,0.8137492458611602,-1.7159917776539753,-0.38493922733653846,0.72233284224703,1.9912850051355098,0,occasional hang-out
1,25,1,8.2,9.0,1,1,1,0.9040951471288019,-1.7768902616878641,-0.4366697931225392,0.7175665450494172,1.9152600314413402,0,occasional hang-out
1,19,1,25.1,2.0,1,1,2,-1.3481548514731312,0.41869785757574174,-0.7628734131878547,-0.3274154262746048,-0.40771656175983695,3,well-off
1,30,1,12.8,10.0,1,1,2,-0.13080777658461495,-0.9788298804497058,0.25323132497694184,0.831727169786221,2.514905356679375,0,occasional hang-out
1,21,1,11.8,10.0,1,1,2,-0.19344708255435544,-1.0017902283026627,-0.6310559475223582,0.9231501552020284,2.5876697598197866,0,occasional hang-out
1,21,1,12.9,10.0,1,1,2,-0.22450348611510723,-0.9808563744160136,-0.6132735655334204,0.9247885698637077,2.6138033445271573,0,occasional hang-out
0,32,1,20.3,2.0,1,1,2,-2.235809096939339,0.24745673760140802,1.1842129819445741,8.673673772683244,-3.8554845913113294,1,tourist
1,30,1,18.0,5.0,1,1,2,-0.7520034599462343,-0.14971234405451678,0.24110177729310212,0.03258320520331221,0.5554368777307462,3,well-off
1,19,1,68.8,4.0,1,1,2,-2.3921876281386814,0.958279780227486,-0.017951187338346344,0.06042999884190596,1.46370310973183,3,well-off
1,27,1,28.2,2.0,1,1,2,-1.3549019765564894,0.4811862165101196,0.05890410192059986,-0.40538692323336095,-0.41986488620013407,3,well-off
1,37,1,39.8,2.0,1,1,2,-1.581436535189603,0.7063094117911515,1.2110068147739352,-0.49134515510319415,-0.25152125369192374,3,well-off
1,30,1,15.08,5.0,1,1,2,-0.6695628250395114,-0.2052822107354402,0.19389763601337645,0.028233959010490584,0.4860640892348164,3,well-off
1,28,1,43.75,5.0,1,1,2,-1.4991995009017058,0.3394569065240442,0.46445529147650993,0.09158421480758813,1.1886497173526493,3,well-off
1,23,1,20.0,2.0,1,1,2,-1.1637783379429925,0.32338737491000574,-0.4594872376576601,-0.37630613611777186,-0.571780122438182,3,well-off
